shot_id,timestamp,score_marker,sample_index,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,42,-8.0727625,-4.3442,-3.481828,3.035963,-0.5480953,-0.10306748
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,43,-8.878841,-5.0412846,-3.4973986,2.9295666,-1.200856,-0.1592619
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,44,-8.863271,-5.11794,-1.5582588,2.5127692,-1.3803585,-0.15060635
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,45,-8.6141405,-5.407793,-0.473107,2.8536642,-1.3549246,-0.08042992
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,46,-8.506344,-5.973126,-0.68271136,3.3945687,-1.8356398,0.11625053
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,47,-7.1049895,-5.0376916,1.9858518,2.9779043,-1.5068625,0.43956816
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,48,-7.3169894,-4.102257,4.0723133,2.6426022,-1.3550577,0.6543586
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,49,-8.172175,-4.011229,4.1860986,2.3227468,-1.7103342,1.1293479
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,50,-7.340944,-3.715387,5.072426,2.220345,-1.9268558,1.6497455
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,0,1.8085864,-9.751993,1.9223715,1.4812953,-0.9952537,1.5802349
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,1,0.056293745,-8.644084,1.7379197,1.4848908,-1.2044513,1.671584
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,2,-0.28865516,-9.910094,1.2228918,1.8711941,-1.4083226,1.8216578
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,3,-0.362915,-9.817869,1.346259,1.538422,-1.2393398,1.7448232
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,4,-0.19283602,-10.344874,2.0804732,1.6654586,-1.1346744,1.6228467
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,5,1.0252649,-9.381891,3.831568,1.2927378,-0.7931136,1.5517381
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,6,1.3258973,-11.112625,3.2123368,1.1196271,-0.69057876,1.632967
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,7,1.3809934,-9.689711,2.6014898,0.5801873,-0.7234698,1.616455
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,8,1.5331063,-10.316129,1.4959763,0.78618914,-0.9531744,1.8040804
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,9,1.7283378,-9.613055,1.2887675,0.6056213,-1.1174965,1.7367003
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,10,2.2661228,-9.54718,1.203728,0.56953436,-1.25998,1.6204498
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,11,2.945241,-9.910094,1.1055133,0.29934844,-1.3341513,1.5988775
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,12,2.8542128,-8.798593,0.8300333,0.0769677,-1.4871545,1.5149854
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,13,2.6074784,-8.27039,0.65396565,0.4679317,-1.8506871,1.3774289
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,14,2.9943483,-8.761463,2.0505297,0.44089976,-2.1485708,1.3623816
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,15,3.1153197,-7.6224127,3.4542801,-0.029828314,-2.27108,1.2647738
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,16,4.5130816,-7.0594754,4.6544147,-0.7283968,-2.2164834,1.0457221
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,17,4.5909348,-6.646255,4.59333,-0.78578967,-2.1774669,0.75862455
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,18,5.727589,-5.9743233,6.2498035,-0.9957863,-2.1211393,0.4203928
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,19,6.7564473,-4.4076805,6.937306,-0.9426546,-1.5488086,-0.19881104
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,20,6.303702,-4.7011266,7.363701,-0.44582677,-1.3131117,-1.0571741
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,21,8.786615,-2.9548228,8.860875,-0.8060303,-0.94145614,-2.2937174
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,22,13.704533,-1.874462,9.816671,-0.94425255,-0.14541303,-3.5208063
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,23,19.795036,-2.660179,9.421417,-1.6133922,0.98859555,-4.711542
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,24,31.043007,-4.881985,9.839428,-2.082256,3.679802,-4.9353876
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,25,32.088634,-7.14691,7.6930795,-2.47322,5.8781753,-5.5259614
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,26,33.799004,-10.885055,6.2641764,-2.698264,7.9114275,-5.549265
1779008847632,2026-05-17 11:07:27.632,S0-0_G2-1,27,32.32339,-13.558409,0.670734,-3.571541,8.747819,-4.579046
